metric,pearson,spearman,rmse,pearson_fit_linear,spearman_fit_linear,rmse_fit_linear,pearson_fit_cubic,spearman_fit_cubic,rmse_fit_cubic
point2point_MSE,-0.622690093849683,-0.718721887765594,30.4181779227152,0.622690093849683,0.718721887765594,5.25277937297903,0.735703470706066,0.718721887765594,4.54679904062586
point2point_HD,0.0304432964226168,-0.226571079017249,71.0614151019646,0.0304432964226158,-0.226571079017249,6.70997527022039,0.560580529017581,0.540327372105744,5.55910662734902
angular,-0.498925434167709,-0.689712189468891,17.9143393318577,0.498925434167709,0.689712189468891,5.81786256304509,0.696971731753375,0.68879526286763,4.81394517198575
rgb_1,0.745194422723912,0.752980124955934,137.002439919162,0.745194422723912,0.752980124955934,4.47660357080111,0.78295091168648,0.752980124955934,4.17610048288537
rgb_2,0.730681991693889,0.756831216681232,139.69828332772,0.730681991693889,0.756831216681232,4.58314500610335,0.784853614031403,0.756831216681232,4.1599737749778
yuv,0.718189555553611,0.755730904759719,156.130750733525,0.718189555553611,0.755730904759719,4.67128477045649,0.786729944969096,0.755730904759719,4.14397056830281
